time,voltage_out1,voltage_out2,speed_kph,acceleration
16.721,1.1,0.55,6.71057914,0.5616341920523524
16.745,1.1,0.55,6.78376462,0.3792177414043181
16.78,1.1,0.55,6.78376462,0.5534688842614628
16.805,1.1,0.55,6.78376462,0.3617926271186292
16.841,1.1,0.55,6.78376462,2.842170943040401e-15
16.867,1.1,0.55,6.78376462,-2.842170943040401e-15
16.908,1.1,0.55,6.78376462,-2.842170943040401e-15
16.943,1.1,0.55,6.78376462,-2.842170943040401e-15
16.97,1.1,0.55,6.78376462,-2.842170943040401e-15
17.004,1.1,0.55,6.78376462,0.0
17.027,1.1,0.55,6.78376462,0.0
17.063,1.1,0.55,6.78376462,0.1542630061728488
17.085,1.1,0.55,6.78376462,0.3085260123456976
17.126,1.1,0.55,6.78376462,0.30852601234569477
17.166,1.1,0.55,6.844717320000001,0.30852601234569477
17.207,1.1,0.55,6.844717320000001,0.30852601234569477
17.248,1.1,0.55,6.844717320000001,0.1542630061728488
17.289,1.1,0.55,6.844717320000001,0.0
17.331,1.1,0.55,6.844717320000001,0.1921244230769105
17.372,1.1,0.55,6.844717320000001,0.38424884615381527
17.413,1.1,0.55,6.844717320000001,0.17654676715176834
17.452,1.1,0.55,6.91781832,0.1562831496881955
17.493,1.1,0.55,6.91781832,0.19115542160234042
17.53,1.1,0.55,6.844717320000001,-0.16482666468556034
17.569,1.1,0.55,6.91781832,-0.17419858776245575
17.612,1.1,0.55,6.844717320000001,0.21394266845478854
17.652,1.1,0.55,6.844717320000001,0.23420628591836135
17.692,1.1,0.55,6.91781832,0.19933401400421644
17.731,1.1,0.55,6.91781832,0.36319167721520673
17.772,1.1,0.55,6.91781832,0.18043917721519734
17.813,1.1,0.55,6.91781832,0.17298505197505848
17.854,1.1,0.55,6.91781832,0.3329610654885755
17.895,1.1,0.55,6.91781832,0.6552281777206133
17.932,1.1,0.55,6.97870062,0.7873847750057195
17.967,1.1,0.55,6.97870062,0.6053894609479216
17.993,1.1,0.55,7.051717139999999,0.4324044089728602
18.027,1.1,0.55,6.97870062,0.2724283954593488
18.052,1.1,0.55,6.97870062,-0.0498387167726861
18.087,1.1,0.55,6.97870062,-0.18199531405779226
18.11,1.1,0.55,6.97870062,5.684341886080802e-15
18.154,1.1,0.55,6.97870062,8.526512829121202e-15
18.198,1.1,0.55,6.97870062,0.0
18.233,1.1,0.55,6.97870062,-2.842170943040401e-15
18.257,1.1,0.55,6.97870062,-2.842170943040401e-15
18.292,1.1,0.55,6.97870062,-8.526512829121202e-15
18.316,1.1,0.55,6.97870062,-1.4210854715202004e-14
18.352,1.1,0.55,6.97870062,-5.684341886080802e-15
18.376,1.1,0.55,6.97870062,-9.947598300641402e-15
18.414,1.1,0.55,6.97870062,-7.105427357601002e-15
18.438,1.1,0.55,6.97870062,-1.4210854715202005e-15
18.481,1.1,0.55,6.97870062,1.4210854715202005e-15
18.518,1.1,0.55,6.97870062,-4.263256414560601e-15
18.543,1.1,0.55,6.97870062,0.0
18.576,1.1,0.55,6.97870062,-2.842170943040401e-15
18.598,1.1,0.55,6.97870062,-2.842170943040401e-15
18.634,1.1,0.55,6.97870062,0.0
18.657,1.1,0.55,6.97870062,2.842170943040401e-15
18.693,1.1,0.55,6.97870062,2.842170943040401e-15
18.717,1.1,0.55,6.97870062,2.842170943040401e-15
18.756,1.1,0.55,6.97870062,8.526512829121202e-15
18.797,1.1,0.55,6.97870062,2.842170943040401e-15
18.838,1.1,0.55,6.97870062,0.0
18.872,1.1,0.55,6.97870062,0.0
18.895,1.1,0.55,6.97870062,-5.684341886080802e-15
18.931,1.1,0.55,6.97870062,0.0
18.953,1.1,0.55,6.97870062,5.684341886080802e-15
18.987,1.1,0.55,6.97870062,8.526512829121202e-15
19.01,1.1,0.55,6.97870062,0.40312778467911414
19.031,1.1,0.55,6.97870062,0.6636103532409834
19.071,1.1,0.55,6.97870062,0.5325550609332709
19.094,1.1,0.55,7.051717139999999,0.532555060933268
19.133,1.1,0.55,6.97870062,0.5325550609332652
19.154,1.1,0.55,6.97870062,0.12942727625415956
19.191,1.1,0.55,6.97870062,-0.13105529230770116
19.211,1.1,0.55,6.97870062,0.17861713565604304
19.235,1.1,0.55,6.97870062,0.32351618311074903
19.268,1.1,0.55,6.97870062,0.32351618311074615
19.306,1.1,0.55,7.051717139999999,0.32351618311074615
19.329,1.1,0.55,7.051717139999999,0.32351618311073765
19.365,1.1,0.55,7.051717139999999,0.14489904745470028
19.388,1.1,0.55,7.051717139999999,-8.526512829121202e-15
19.411,1.1,0.55,7.051717139999999,0.36327275324672426
19.445,1.1,0.55,7.051717139999999,0.6741743773068578
19.468,1.1,0.55,7.051717139999999,0.8982064299385201
19.489,1.1,0.55,7.12468758,1.1009020966052616
19.527,1.1,0.55,7.051717139999999,1.2792742832719852
19.551,1.1,0.55,7.12468758,1.2565302500252842
19.587,1.1,0.55,7.051717139999999,0.6050999059651871
19.612,1.1,0.55,7.12468758,0.04466175706238289
19.647,1.1,0.55,7.12468758,-0.15803390960436445
19.672,1.1,0.55,7.051717139999999,-0.19385090213186515
19.706,1.1,0.55,7.051717139999999,-0.5343796221318626
19.73,1.1,0.55,7.051717139999999,-0.5592690330887393
19.769,1.1,0.55,7.12468758,-0.18435719126714786
19.808,1.1,0.55,7.051717139999999,0.015615980624750137
19.849,1.1,0.55,6.97870062,-0.47927289732395195
19.886,1.1,0.55,7.051717139999999,-0.707226910982439
19.924,1.1,0.55,7.051717139999999,-0.6494171791385895
19.949,1.1,0.55,6.97870062,-0.9570255782516142
19.99,1.1,0.55,7.051717139999999,-0.9471668076187001
20.012,1.1,0.55,6.97870062,-0.594833123809218
20.049,1.1,0.55,7.051717139999999,-0.36687911015076224
