Time (ms),Distance (mm),Brake Position (%)
39055.0,66.6,76.46
39162.0,66.63,76.4
39269.0,66.62,76.41
39376.0,66.64,76.38
39483.0,66.62,76.42
39590.0,66.62,76.41
39697.0,66.6,76.45
39804.0,66.64,76.39
39911.0,66.66,76.36
40018.0,66.66,76.35
40125.0,66.67,76.34
40232.0,66.67,76.34
40339.0,66.65,76.38
40446.0,66.61,76.44
40553.0,66.63,76.41
40660.0,66.65,76.37
40767.0,66.67,76.34
40874.0,66.64,76.38
40981.0,66.62,76.42
41088.0,66.68,76.32
41195.0,66.67,76.33
41302.0,66.69,76.3
41409.0,66.71,76.27
41516.0,66.67,76.33
41623.0,66.66,76.35
41730.0,66.71,76.27
41837.0,66.7,76.29
41944.0,66.71,76.28
42051.0,66.73,76.25
42158.0,66.74,76.22
42265.0,66.76,76.19
42372.0,66.8,76.14
42479.0,66.8,76.13
42586.0,66.82,76.1
42693.0,66.85,76.05
42800.0,66.9,75.98
42907.0,66.93,75.93
43014.0,66.94,75.9
43121.0,66.94,75.9
43228.0,66.93,75.92
43335.0,66.95,75.9
43442.0,66.92,75.94
43549.0,66.93,75.92
43656.0,66.9,75.96
43763.0,66.92,75.94
43870.0,66.95,75.89
43977.0,66.97,75.86
44084.0,66.94,75.91
44191.0,66.92,75.93
44298.0,66.95,75.88
44405.0,66.95,75.88
44512.0,66.98,75.83
44619.0,66.96,75.88
44726.0,66.91,75.95
44833.0,66.94,75.9
44940.0,66.88,75.99
45047.0,66.87,76.01
45154.0,66.87,76.01
45261.0,66.88,76.01
45368.0,66.94,75.91
45475.0,66.95,75.88
45582.0,66.94,75.91
45689.0,66.97,75.86
45796.0,66.98,75.83
45903.0,66.97,75.86
46010.0,66.95,75.88
46117.0,66.91,75.95
46224.0,66.91,75.95
46331.0,66.88,75.99
46438.0,66.87,76.01
46545.0,66.86,76.04
46652.0,66.87,76.01
46759.0,66.88,76.01
46866.0,66.89,75.98
46973.0,66.91,75.95
47080.0,66.91,75.95
47187.0,66.96,75.88
47294.0,66.99,75.83
47401.0,67.02,75.78
47508.0,67.05,75.73
47615.0,67.07,75.69
47722.0,67.07,75.69
47829.0,67.09,75.67
47936.0,67.1,75.64
48043.0,67.1,75.65
48150.0,67.08,75.67
48257.0,67.05,75.72
